COUNTRY,M49,VALUE
Brazil,076,8.566676183338252
Syrian Arab Republic,760,1.5861595190694195
Tajikistan,762,0.44130755311890396
Thailand,764,29.309977310203916
Togo,768,12.225610977862312
Tokelau,772,64.91414683478774
Tonga,776,22.669987736065327
Trinidad and Tobago,780,23.656484688591405
United Arab Emirates,784,25.95427967854629
Tunisia,788,13.332788641216885
Turkey,792,5.318385661816568
Turkmenistan,795,2.881030317623606
Turks and Caicos Is.,796,50.89262797986631
Tuvalu,798,47.207532565747556
Albania,008,8.601405173809278
Uganda,800,12.554855823633895
Ukraine,804,12.78023980763542
North Macedonia,807,6.182075998983805
Egypt,818,25.672453541906837
United Kingdom,826,18.511477667086
"Tanzania, United Rep. of",834,6.807463399644496
Belize,084,13.904120542174025
United States of America,840,22.70837312658844
US Virgin Islands,850,4.489969563781894
Burkina Faso,854,8.365491225778108
Uruguay,858,9.1526020882596
Uzbekistan,860,2.7295841717794977
"Venezuela, Boliv Rep of",862,9.933628843919555
Wallis and Futuna Is.,876,54.62908901305958
Samoa,882,47.96865338863525
Yemen,887,3.0864694914468553
Zambia,894,11.662454869760913
Solomon Islands,090,29.416165355015977
British Virgin Islands,092,31.6483474312405
Brunei Darussalam,096,42.457856850283605
